"","temp","degree_centralization","betweenness_centralization","closeness_centralization","eigenvector_centralization","global_clustcoeff","assortativity","diameter","avg_degree","modularity","density","avg_path_length","vertices","edges"
"3854","182_2_17",0.142857142857143,0.00816326530612245,0.146164021164021,0.073245779274859,0.931034482758621,-0.322033898305073,54,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3855","182_2_18",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,54,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3856","182_2_19",0.142857142857143,0.00816326530612245,0.146164021164021,0.073245779274859,0.931034482758621,-0.322033898305073,54,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3857","182_2_2",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748589,0.931034482758621,-0.322033898305073,64,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3858","182_2_20",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,54,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3859","182_2_21",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748589,0.931034482758621,-0.322033898305073,53,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3860","182_2_22",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748589,0.931034482758621,-0.322033898305073,53,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3861","182_2_23",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,53,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3862","182_2_24",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,52,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3863","182_2_25",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,52,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3864","182_2_26",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748589,0.931034482758621,-0.322033898305073,52,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3865","182_2_27",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,52,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3866","182_2_28",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748589,0.931034482758621,-0.322033898305073,52,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3867","182_2_29",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,52,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3868","182_2_3",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748589,0.931034482758621,-0.322033898305073,57,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3869","182_2_30",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,52,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3870","182_2_31",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,52,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3871","182_2_32",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,52,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3872","182_2_33",0.142857142857143,0.00816326530612245,0.146164021164021,0.073245779274859,0.931034482758621,-0.322033898305073,52,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3873","182_2_34",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,52,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3874","182_2_35",0.142857142857143,0.00816326530612245,0.146164021164021,0.073245779274859,0.931034482758621,-0.322033898305073,40,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3875","182_2_36",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,31,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3876","182_2_37",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,15,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3877","182_2_38",0.142857142857143,0.00816326530612245,0.146164021164021,0.073245779274859,0.931034482758621,-0.322033898305073,13,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3878","182_2_39",0.357142857142857,0.0340136054421769,0.323280423280423,0.173850824175461,0.827586206896552,-0.487562189054728,15,11.5,-0.131379962192817,1.64285714285714,1.17857142857143,8,46
"3879","182_2_4",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748589,0.931034482758621,-0.322033898305073,56,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3880","182_2_40",0.285714285714286,0.0444444444444444,0.279365079365079,0.140691717178884,0.884615384615385,-0.384615384615379,73,10.2857142857143,-0.148148148148148,1.71428571428571,1.14285714285714,7,36
"3881","182_2_41",0.285714285714286,0.0444444444444444,0.279365079365079,0.140691717178884,0.884615384615385,-0.384615384615379,62,10.2857142857143,-0.148148148148148,1.71428571428571,1.14285714285714,7,36
"3882","182_2_42",0.571428571428571,0.140740740740741,0.504603174603175,0.278037352236937,0.75,-0.545961002785517,14,8.57142857142857,-0.157777777777778,1.42857142857143,1.28571428571429,7,30
"3883","182_2_43",0.666666666666667,0.2,0.594642857142857,0.343450482868176,0.642857142857143,-0.666666666666666,17,6.66666666666667,-0.19,1.33333333333333,1.33333333333333,6,20
"3884","182_2_44",1,1,1,0.633974596215561,0,-1,171,3,-0.333333333333333,1,1.5,4,6
"3885","182_2_5",0.142857142857143,0.00816326530612245,0.146164021164021,0.073245779274859,0.931034482758621,-0.322033898305073,56,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3886","182_2_6",0.142857142857143,0.00816326530612245,0.146164021164021,0.073245779274859,0.931034482758621,-0.322033898305073,54,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3887","182_2_7",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,54,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3888","182_2_8",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748593,0.931034482758621,-0.322033898305073,54,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3889","182_2_9",0.142857142857143,0.00816326530612245,0.146164021164021,0.0732457792748592,0.931034482758621,-0.322033898305073,54,13,-0.126479289940828,1.85714285714286,1.07142857142857,8,52
"3890","190_330_0",1.96626984126984,0.0940012642942334,0.604783544765539,0.701654875177072,0.642931754874652,-0.184997420628643,15,52.125,0.0811250280351259,0.827380952380952,1.66369047619048,64,1668
"3891","190_330_1",1.96825396825397,0.0949002067606667,0.605207899632016,0.702448126777365,0.643287097618425,-0.183828186586715,15,52,0.0910427838387574,0.825396825396825,1.66418650793651,64,1664
