"","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","pagerank"
"44",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"45",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"46",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"47",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"48",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"49",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"50",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"51",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"52",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"53",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"54",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"55",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"56",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"57",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"58",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"59",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"60",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"61",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"62",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"63",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"64",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"65",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"66",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"67",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"68",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"69",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"70",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"71",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"72",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"73",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"74",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"75",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"76",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"77",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"78",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"79",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"80",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"81",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"82",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"83",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
"84",1,1,2,0,0,0.0120412844036697,7.75687847737465e-05,0.050344462109168
"85",0,0,0,0,0,0.0117647058823529,1,0.00980392156862745
