"upeople_id","X72scmChanges","X263scmChanges","X293scmChanges","X77scrChanges","X212scrChanges","X391scrChanges","X1mslChanges","number_of_domain","country","X72linesadded","X72linesremoved","X263linesadded","X263linesremoved","X293linesadded","X293linesremoved","X77ReviewGotMerged","X212ReviewGotMerged","X391ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
1652,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,79,0,0,0,0,NA,0.008,5.5507546812065e-17
1977,0,46,0,2,0,0,0,2,8,0,0,7683,3376,0,0,2,0,0,107,0,0,0,0,NA,0.008,5.5507546812065e-17
2342,0,316,0,0,0,0,0,2,9,0,0,71806,44771,0,0,0,0,0,58,0,0,0,0,NA,0.008,5.5507546812065e-17
378243,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,NA,0.008,5.5507546812065e-17
379031,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,NA,0.008,5.5507546812065e-17
379033,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,NA,0.008,5.5507546812065e-17
379589,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,NA,0.008,5.5507546812065e-17
379590,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,NA,0.008,5.5507546812065e-17
379593,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,NA,0.008,5.5507546812065e-17
379606,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,NA,0.008,5.5507546812065e-17
379607,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,NA,0.008,5.5507546812065e-17
379608,0,0,0,0,0,0,38,3,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,NA,0.008,5.5507546812065e-17
379609,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,NA,0.008,5.5507546812065e-17
379630,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,NA,0.008,5.5507546812065e-17
379632,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,NA,0.008,5.5507546812065e-17
379635,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,48,1,1,2,0,0,0.00806451612903226,0.999870132895892
379637,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,NA,0.008,5.5507546812065e-17
379670,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,NA,0.008,5.5507546812065e-17
379684,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,NA,0.008,5.5507546812065e-17
379701,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,NA,0.008,5.5507546812065e-17
379807,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,NA,0.008,5.5507546812065e-17
379837,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,NA,0.008,5.5507546812065e-17
379845,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,NA,0.008,5.5507546812065e-17
379900,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,NA,0.008,5.5507546812065e-17
379923,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,NA,0.008,5.5507546812065e-17
380730,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,NA,0.008,5.5507546812065e-17
380752,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,NA,0.008,5.5507546812065e-17
381254,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,NA,0.008,5.5507546812065e-17
381698,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,NA,0.008,5.5507546812065e-17
382374,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,NA,0.008,5.5507546812065e-17
383224,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,NA,0.008,5.5507546812065e-17
383631,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,NA,0.008,5.5507546812065e-17
386086,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,NA,0.008,5.5507546812065e-17
386146,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,NA,0.008,5.5507546812065e-17
386882,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,NA,0.008,5.5507546812065e-17
387140,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,NA,0.008,5.5507546812065e-17
388687,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,NA,0.008,5.5507546812065e-17
395073,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,NA,0.008,5.5507546812065e-17
398473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,NA,0.008,5.5507546812065e-17
398674,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,NA,0.008,5.5507546812065e-17
400331,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,NA,0.008,5.5507546812065e-17
401752,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,NA,0.008,5.5507546812065e-17
401938,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,NA,0.008,5.5507546812065e-17
407495,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,NA,0.008,5.5507546812065e-17
411004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,NA,0.008,5.5507546812065e-17
411575,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,NA,0.008,5.5507546812065e-17
412675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,NA,0.008,5.5507546812065e-17
432588,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,NA,0.008,5.5507546812065e-17
432589,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,NA,0.008,5.5507546812065e-17
432608,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,NA,0.008,5.5507546812065e-17
432683,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,NA,0.008,5.5507546812065e-17
433031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,NA,0.008,5.5507546812065e-17
433146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,NA,0.008,5.5507546812065e-17
433641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,NA,0.008,5.5507546812065e-17
434121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,NA,0.008,5.5507546812065e-17
434143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,NA,0.008,5.5507546812065e-17
434389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,NA,0.008,5.5507546812065e-17
434791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,NA,0.008,5.5507546812065e-17
444603,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,NA,0.008,5.5507546812065e-17
445339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,NA,0.008,5.5507546812065e-17
445371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,NA,0.008,5.5507546812065e-17
446833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,NA,0.008,5.5507546812065e-17
446844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,NA,0.008,5.5507546812065e-17
447097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,NA,0.008,5.5507546812065e-17
447099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,NA,0.008,5.5507546812065e-17
447320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,NA,0.008,5.5507546812065e-17
447330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,NA,0.008,5.5507546812065e-17
450596,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,23,0,125,0,0,0,0,NA,0.008,5.5507546812065e-17
