"upeople_id","X65scmChanges","X72scmChanges","X105scmChanges","X109scmChanges","X113scmChanges","X142scmChanges","X182scmChanges","X263scmChanges","X274scmChanges","X293scmChanges","X378scmChanges","X389scmChanges","X406scmChanges","X59scrChanges","X77scrChanges","X98scrChanges","X118scrChanges","X126scrChanges","X169scrChanges","X212scrChanges","X221scrChanges","X248scrChanges","X280scrChanges","X356scrChanges","X369scrChanges","X391scrChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","X6mslChanges","X7mslChanges","X8mslChanges","X9mslChanges","X10mslChanges","X11mslChanges","number_of_domain","country","X65linesadded","X65linesremoved","X72linesadded","X72linesremoved","X105linesadded","X105linesremoved","X109linesadded","X109linesremoved","X113linesadded","X113linesremoved","X142linesadded","X142linesremoved","X182linesadded","X182linesremoved","X263linesadded","X263linesremoved","X274linesadded","X274linesremoved","X293linesadded","X293linesremoved","X378linesadded","X378linesremoved","X389linesadded","X389linesremoved","X406linesadded","X406linesremoved","X59ReviewGotMerged","X77ReviewGotMerged","X98ReviewGotMerged","X118ReviewGotMerged","X126ReviewGotMerged","X169ReviewGotMerged","X212ReviewGotMerged","X221ReviewGotMerged","X248ReviewGotMerged","X280ReviewGotMerged","X356ReviewGotMerged","X369ReviewGotMerged","X391ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
750,0,56,0,0,0,0,324,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,50,0,0,0,0,3,8,0,0,1044,748,0,0,0,0,0,0,0,0,14204,10497,75865,54996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,NA,0.00366300366300366,0
754,0,178,0,0,0,0,573,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,169,0,0,0,3,3,9,0,0,4999,3047,0,0,0,0,0,0,0,0,3679,2211,182582,30107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,NA,0.00366300366300366,0
756,0,280,3,0,0,0,95,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,9,27,0,1,0,71,3,6,0,0,47073,7759,3,3,0,0,0,0,0,0,1549,1530,0,0,0,0,0,0,0,0,0,0,9194,5573,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,NA,0.00366300366300366,0
758,0,273,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,10,4,8,0,0,139591,69589,0,0,0,0,0,0,0,0,94,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,NA,0.00366300366300366,0
759,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,9,0,0,1351,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,NA,0.00366300366300366,0
760,0,355,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,2,60,0,0,0,132,1,6,0,0,32049,13450,0,0,0,0,0,0,0,0,956,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,45,0,0,0,0,NA,0.00366300366300366,0
765,0,325,0,0,0,0,95,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,64,0,0,0,118,2,10,0,0,24252,12060,0,0,0,0,0,0,0,0,1913,331,0,0,0,0,36354,20667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,NA,0.00366300366300366,0
771,0,98,0,0,0,0,12,0,0,0,61,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,1,4,10,0,0,11496,4186,0,0,0,0,0,0,0,0,484,30,0,0,0,0,0,0,6127,1548,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,184,0,0,0,0,NA,0.00366300366300366,0
797,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,NA,0.00366300366300366,0
804,0,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,0,0,827,352,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,30,0,0,0,0,NA,0.00366300366300366,0
