"upeople_id","X4scmChanges","X330scmChanges","X347scmChanges","X419scrChanges","X1mslChanges","number_of_domain","country","X4linesadded","X4linesremoved","X330linesadded","X330linesremoved","X347linesadded","X347linesremoved","X419ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
2813,0,6,0,26,100,11,6,0,0,666,48,0,0,0,74,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2819,0,7,0,78,0,1,8,0,0,14354,20,0,0,71,85,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2833,0,9,0,15,38,2,9,0,0,589,340,0,0,14,11,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2836,0,42,0,144,72,4,7,0,0,13587,6706,0,0,132,105,1,1,2,0,0,0.0120994113799869,0.0098425719892156
2844,0,207,0,265,198,1,7,0,0,16533,4795,0,0,234,86,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2846,0,43,0,312,23,3,9,0,0,5338,858,0,0,269,88,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2852,0,1,0,1,0,3,9,0,0,886,676,0,0,0,39,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2857,0,3,0,0,0,1,6,0,0,329,222,0,0,0,100,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2858,0,2,0,10,116,4,6,0,0,12,0,0,0,5,80,2,2,4,58,0,0.0120665289705403,0.0196870511855992
2860,0,3,0,11,6,1,6,0,0,532,53,0,0,11,101,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
2875,0,1,0,1,0,3,10,0,0,18,2,0,0,0,103,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
3107,0,0,0,0,2,5,8,0,0,0,0,0,0,0,22,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
64670,0,4,0,29,0,2,0,0,0,241,60,0,0,26,109,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
309806,0,1,0,10,1,3,0,0,0,33,1,0,0,10,108,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
378228,0,2,0,11,9,3,0,0,0,2,15,0,0,7,110,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
378243,0,0,0,0,0,13,0,0,0,0,0,0,0,0,48,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
379795,0,0,0,0,155,4,0,0,0,0,0,0,0,0,12,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
379909,0,0,0,0,49,3,0,0,0,0,0,0,0,0,15,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
379951,0,0,0,0,33,2,0,0,0,0,0,0,0,0,16,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
380016,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
380197,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
381658,0,0,0,0,34,2,0,0,0,0,0,0,0,0,23,1,1,2,0,0,0.00900900900900901,7.35605100233536e-18
381967,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
387129,0,0,0,0,7,1,0,0,0,0,0,0,0,0,49,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
391952,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
391953,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
391972,0,0,0,0,14,2,0,0,0,0,0,0,0,0,67,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
391977,0,0,0,0,15,2,0,0,0,0,0,0,0,0,64,1,1,2,0,0,0.00900900900900901,4.6811233651225e-18
391979,0,0,0,0,4,2,0,0,0,0,0,0,0,0,65,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
398335,0,0,0,0,10,2,0,0,0,0,0,0,0,0,70,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
398953,0,0,0,0,30,1,0,0,0,0,0,0,0,0,72,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
399109,0,0,0,5,22,2,0,0,0,0,0,0,0,0,73,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
400259,0,0,0,0,31,2,0,0,0,0,0,0,0,0,75,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
404097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
410508,0,0,0,0,1,2,0,0,0,0,0,0,0,0,77,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
410684,0,0,0,0,12,2,0,0,0,0,0,0,0,0,78,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
411260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
412675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
413978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
422572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
426907,0,0,0,11,0,2,0,0,0,0,0,0,0,7,91,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
427228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
427468,0,0,0,0,5,1,0,0,0,0,0,0,0,0,94,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
427546,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
427876,0,0,0,0,0,1,0,0,0,0,0,0,0,0,96,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
428113,0,0,0,0,0,2,0,0,0,0,0,0,0,0,97,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
428729,0,0,0,0,0,1,0,0,0,0,0,0,0,0,98,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
428736,0,0,0,0,0,1,0,0,0,0,0,0,0,0,99,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
429382,0,0,0,4,0,2,0,0,0,0,0,0,0,0,102,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
432588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
432797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
434144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
444193,0,0,0,6,0,1,0,0,0,0,0,0,0,6,111,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
447097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
447157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
448212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
448844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
452199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
452230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,NA,0.00892857142857143,7.35605100233536e-18
