"upeople_id","X31scmChanges","X40scmChanges","X63scmChanges","X73scmChanges","X74scmChanges","X80scmChanges","X123scmChanges","X137scmChanges","X146scmChanges","X154scmChanges","X186scmChanges","X189scmChanges","X192scmChanges","X196scmChanges","X212scmChanges","X218scmChanges","X233scmChanges","X236scmChanges","X256scmChanges","X262scmChanges","X337scmChanges","X354scmChanges","X358scmChanges","X367scmChanges","X372scmChanges","X436scmChanges","X1mslChanges","X2mslChanges","X3mslChanges","X4mslChanges","X5mslChanges","number_of_domain","country","X31linesadded","X31linesremoved","X40linesadded","X40linesremoved","X63linesadded","X63linesremoved","X73linesadded","X73linesremoved","X74linesadded","X74linesremoved","X80linesadded","X80linesremoved","X123linesadded","X123linesremoved","X137linesadded","X137linesremoved","X146linesadded","X146linesremoved","X154linesadded","X154linesremoved","X186linesadded","X186linesremoved","X189linesadded","X189linesremoved","X192linesadded","X192linesremoved","X196linesadded","X196linesremoved","X212linesadded","X212linesremoved","X218linesadded","X218linesremoved","X233linesadded","X233linesremoved","X236linesadded","X236linesremoved","X256linesadded","X256linesremoved","X354linesadded","X354linesremoved","X358linesadded","X358linesremoved","X367linesadded","X367linesremoved","X372linesadded","X372linesremoved","X436linesadded","X436linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
380827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
380853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
380877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
380890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,12,5,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,7,14,34.1333333333333,0.0549450549450549,0.0296846011131725,0.386376691555105
380921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,7,387,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,5,10,25.6333333333333,0.0888888888888889,0.0297951582867784,0.0731169762556411
380926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
381180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,2,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,6,12,38.1666666666667,0.106060606060606,0.0298136645962733,0.161143390353621
381265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
381449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
381645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,NA,0.0204081632653061,7.95451372998135e-18
