"upeople_id","X67scmChanges","X151scmChanges","X417scmChanges","X38scrChanges","X179scrChanges","X1mslChanges","number_of_domain","country","X67linesadded","X67linesremoved","X151linesadded","X151linesremoved","X417linesadded","X417linesremoved","X38ReviewGotMerged","X179ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
1456,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0.0106382978723404,0.0118138291262531
1481,0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0.0106382978723404,0.0118138291262531
1644,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.0106382978723404,0.0118138291262531
1702,0,285,0,0,0,15,3,9,0,0,27519,19666,0,0,0,0,37,0,0,0,0,0,0.0106382978723404,0.0118138291262531
1705,0,96,0,0,0,40,3,7,0,0,17609,8904,0,0,0,0,2,0,0,0,0,0,0.0106382978723404,0.0118138291262531
1715,0,2,0,0,3,0,1,9,0,0,72,82,0,0,0,3,65,2,2,2,0,0,0.0118501529051988,0.0991415201622999
2134,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0.0106382978723404,0.0118138291262531
2151,0,0,0,0,0,1,3,8,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0.0106382978723404,0.0118138291262531
2235,0,1,0,0,2,0,4,9,0,0,2,1,0,0,0,1,6,2,2,2,0,0,0.011969111969112,0.0379082672482378
2342,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0.0106382978723404,0.0118138291262531
2735,0,0,0,0,0,1,4,10,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0.0106382978723404,0.0118138291262531
2806,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0.0106382978723404,0.0118138291262531
106262,0,1,0,0,3,0,3,0,0,0,84,19,0,0,0,3,90,2,2,2,0,0,0.0116090375733367,0.0767104586509912
141038,0,2,0,0,0,0,3,0,0,0,12,5,0,0,0,0,91,0,0,0,0,0,0.0106382978723404,0.0118138291262531
340389,0,1,0,0,0,0,3,0,0,0,30,22,0,0,0,0,86,0,0,0,0,0,0.0106382978723404,0.0118138291262531
378230,0,1,0,0,0,0,2,0,0,0,64,8,0,0,0,0,92,0,0,0,0,0,0.0106382978723404,0.0118138291262531
378243,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0.0106382978723404,0.0118138291262531
378297,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0106382978723404,0.0118138291262531
378330,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0106382978723404,0.0118138291262531
379589,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0.0106382978723404,0.0118138291262531
379620,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0.0106382978723404,0.0118138291262531
379634,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.0106382978723404,0.0118138291262531
379706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0.0106382978723404,0.0118138291262531
379812,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0.0106382978723404,0.0118138291262531
379930,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0.0106382978723404,0.0118138291262531
381266,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0.0106382978723404,0.0118138291262531
381446,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0.0106382978723404,0.0118138291262531
381907,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0.0106382978723404,0.0118138291262531
381933,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0.0106382978723404,0.0118138291262531
382655,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0.0106382978723404,0.0118138291262531
383611,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0.0106382978723404,0.0118138291262531
383629,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0.0106382978723404,0.0118138291262531
398620,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0.0106382978723404,0.0118138291262531
398653,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0.0106382978723404,0.0118138291262531
398667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0.0106382978723404,0.0118138291262531
398693,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0.0106382978723404,0.0118138291262531
398712,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0.0106382978723404,0.0118138291262531
398755,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0.0106382978723404,0.0118138291262531
432588,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0.0106382978723404,0.0118138291262531
432589,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0.0106382978723404,0.0118138291262531
432608,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0.0106382978723404,0.0118138291262531
432620,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0.0106382978723404,0.0118138291262531
432680,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0.0106382978723404,0.0118138291262531
432694,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0.0106382978723404,0.0118138291262531
433031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0.0106382978723404,0.0118138291262531
433211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0.0106382978723404,0.0118138291262531
433468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0.0106382978723404,0.0118138291262531
433472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0.0106382978723404,0.0118138291262531
433641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0.0106382978723404,0.0118138291262531
434144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.0106382978723404,0.0118138291262531
434791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0.0106382978723404,0.0118138291262531
445358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0106382978723404,0.0118138291262531
445371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0.0106382978723404,0.0118138291262531
445372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0.0106382978723404,0.0118138291262531
445540,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,94,0,0,0,0,0,0.0106382978723404,0.0118138291262531
445768,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0.0106382978723404,0.0118138291262531
447044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0.0106382978723404,0.0118138291262531
