"upeople_id","X72scmChanges","X263scmChanges","X293scmChanges","X77scrChanges","X212scrChanges","X391scrChanges","X1mslChanges","number_of_domain","country","X72linesadded","X72linesremoved","X263linesadded","X263linesremoved","X293linesadded","X293linesremoved","X77ReviewGotMerged","X212ReviewGotMerged","X391ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
413,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0.008,0.00035549491925867
415,1,0,0,0,1,0,0,3,6,31,8,0,0,0,0,0,1,0,3,10,10,10,12.8271063918996,0.444444444444444,0.012646608873024,0.000427916680150048
430,113,0,0,0,3,0,3,2,7,17526,10720,0,0,0,0,0,3,0,69,102,102,102,77.3932143638007,0.0590176664725296,0.0126621055856224,0.157091015391896
432,61,0,0,0,0,0,17,2,9,44117,6418,0,0,0,0,0,0,0,67,12,12,12,22.5997677119628,0.303030303030303,0.0126414517280049,0.0028772531908554
443,1,2,11,0,0,0,0,1,10,24,0,20,8,106,53,0,0,0,17,14,14,14,8.85359246073532,0.32967032967033,0.0126491890237682,0.000490695815155133
526,4,0,0,0,4,0,18,6,9,2030,1813,0,0,0,0,0,0,0,4,4,4,4,0,0.333333333333333,0.0125214581439968,0.000495912723987233
610,1,1,0,0,9,0,0,5,9,1,1,6,4,0,0,0,6,0,10,2,2,2,0,0,0.0126221498371336,0.000120344628258778
659,20,0,0,0,0,0,12,3,9,785,198,0,0,0,0,0,0,0,41,28,28,28,27.3191833689291,0.322751322751323,0.0126440297746508,0.00880198120218612
663,1469,0,0,0,0,0,417,5,10,524403,463832,0,0,0,0,0,0,0,64,72,72,72,46.7972222222222,0.143974960876369,0.012629863515991,0.792527905977965
665,386,4,0,0,0,0,109,3,8,50772,38192,3,4,0,0,0,0,0,57,62,62,62,55.635119047619,0.175568482284506,0.0126388747324432,0.423512723738506
670,0,0,321,0,0,0,0,13,8,0,0,0,0,31900,30034,0,0,0,5,0,0,0,0,0,0.008,0.00035549491925867
671,22,0,0,0,14,0,1,3,6,2358,1710,0,0,0,0,0,14,0,7,44,44,44,4.78333333333333,0.19661733615222,0.01262472001629,0.0326423317552533
677,186,0,11,0,182,22,16,5,7,10809,3898,0,0,476,266,0,161,14,18,98,98,98,65.8267553140275,0.0887860298758679,0.0126491890237682,0.240860218111812
693,12,0,0,0,0,0,0,2,8,56,24,0,0,0,0,0,0,0,51,6,6,6,0,0.4,0.0125901106711341,6.82322604605785e-05
721,188,0,0,0,0,0,19,3,10,21940,10979,0,0,0,0,0,0,0,43,76,76,76,25.0028486440548,0.152280701754386,0.0126453191923312,0.466365892189551
