"upeople_id","X424scmChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X424linesadded","X424linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
384661,0,53,66,2,0,0,0,19,0,0,0,0,0,0.00819672131147541,0.00244670179973012
384683,0,0,0,1,0,0,0,22,0,0,0,0,0,0.00819672131147541,0.00244670179973012
384687,0,0,0,1,0,0,0,24,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385166,0,0,0,1,0,0,0,26,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385174,0,0,0,1,0,0,0,28,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385549,0,0,0,1,0,0,0,29,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385551,0,0,0,1,0,0,0,31,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385555,0,34,0,1,0,0,0,32,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385557,0,0,0,4,0,0,0,35,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385559,0,6,0,1,0,0,0,39,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385560,0,68,0,1,0,0,0,40,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385561,0,0,0,1,0,0,0,41,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385562,0,19,0,1,0,0,0,43,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385565,0,0,0,1,0,0,0,46,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385568,0,0,0,1,0,0,0,50,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385573,0,167,138,1,0,0,0,51,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385575,0,44,0,1,0,0,0,52,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385576,0,2,0,1,0,0,0,53,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385592,0,37,0,2,0,0,0,55,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385602,0,176,0,1,0,0,0,56,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385603,0,0,0,1,0,0,0,57,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385605,0,0,0,1,0,0,0,58,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385609,0,0,0,1,0,0,0,59,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385610,0,47,0,1,0,0,0,60,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385611,0,267,0,1,0,0,0,61,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385612,0,323,0,1,0,0,0,62,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385613,0,12,0,1,0,0,0,63,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385618,0,3,0,2,0,0,0,65,0,0,0,0,0,0.00819672131147541,0.00244670179973012
385634,0,11,0,1,0,0,0,66,0,0,0,0,0,0.00819672131147541,0.00244670179973012
386297,0,0,0,1,0,0,0,69,0,0,0,0,0,0.00819672131147541,0.00244670179973012
389608,0,0,0,1,0,0,0,71,0,0,0,0,0,0.00819672131147541,0.00244670179973012
389641,0,0,0,1,0,0,0,73,0,0,0,0,0,0.00819672131147541,0.00244670179973012
389673,0,0,0,1,0,0,0,74,0,0,0,0,0,0.00819672131147541,0.00244670179973012
389684,0,0,0,1,0,0,0,75,0,0,0,0,0,0.00819672131147541,0.00244670179973012
395667,0,0,0,1,0,0,0,79,0,0,0,0,0,0.00819672131147541,0.00244670179973012
396989,0,181,0,1,0,0,0,80,0,0,0,0,0,0.00819672131147541,0.00244670179973012
397038,0,1,0,1,0,0,0,82,0,0,0,0,0,0.00819672131147541,0.00244670179973012
397039,0,100,0,1,0,0,0,83,0,0,0,0,0,0.00819672131147541,0.00244670179973012
398967,0,0,0,1,0,0,0,84,0,0,0,0,0,0.00819672131147541,0.00244670179973012
407816,0,18,0,1,0,0,0,88,0,0,0,0,0,0.00819672131147541,0.00244670179973012
407818,0,138,0,1,0,0,0,89,0,0,0,0,0,0.00819672131147541,0.00244670179973012
407886,0,91,0,1,0,0,0,90,0,0,0,0,0,0.00819672131147541,0.00244670179973012
407887,0,64,0,2,0,0,0,91,0,0,0,0,0,0.00819672131147541,0.00244670179973012
407975,0,9,0,1,0,0,0,94,0,0,0,0,0,0.00819672131147541,0.00244670179973012
407988,0,0,0,1,0,0,0,95,0,0,0,0,0,0.00819672131147541,0.00244670179973012
408106,0,0,0,1,0,0,0,96,0,0,0,0,0,0.00819672131147541,0.00244670179973012
408303,0,0,0,1,0,0,0,98,0,0,0,0,0,0.00819672131147541,0.00244670179973012
408331,0,0,0,1,0,0,0,99,0,0,0,0,0,0.00819672131147541,0.00244670179973012
408394,0,0,0,1,0,0,0,102,0,0,0,0,0,0.00819672131147541,0.00244670179973012
408405,0,0,0,2,0,0,0,103,0,0,0,0,0,0.00819672131147541,0.00244670179973012
408452,0,0,0,1,0,0,0,105,0,0,0,0,0,0.00819672131147541,0.00244670179973012
409735,0,0,0,1,0,0,0,111,0,0,0,0,0,0.00819672131147541,0.00244670179973012
432367,0,3,0,2,0,0,0,119,0,0,0,0,0,0.00819672131147541,0.00244670179973012
433228,0,0,0,1,0,0,0,115,0,0,0,0,0,0.00819672131147541,0.00244670179973012
433365,0,0,0,1,0,0,0,117,0,0,0,0,0,0.00819672131147541,0.00244670179973012
433366,0,0,0,1,0,0,0,118,0,0,0,0,0,0.00819672131147541,0.00244670179973012
433601,0,0,0,1,0,0,0,120,0,0,0,0,0,0.00819672131147541,0.00244670179973012
433604,0,0,0,1,0,0,0,121,0,0,0,0,0,0.00819672131147541,0.00244670179973012
433644,0,0,0,0,0,0,0,45,0,0,0,0,0,0.00819672131147541,0.00244670179973012
443878,130,0,0,2,0,7053,3887,122,66,66,66,0.262387387387387,0.100699300699301,0.0110482103725347,0.0043212478706996
447368,0,0,0,0,0,0,0,15,0,0,0,0,0,0.00819672131147541,0.00244670179973012
447446,0,0,0,0,0,0,0,27,0,0,0,0,0,0.00819672131147541,0.00244670179973012
447483,0,0,0,0,0,0,0,38,0,0,0,0,0,0.00819672131147541,0.00244670179973012
447484,0,0,0,0,0,0,0,47,0,0,0,0,0,0.00819672131147541,0.00244670179973012
447486,0,0,0,0,0,0,0,54,0,0,0,0,0,0.00819672131147541,0.00244670179973012
447496,0,0,0,0,0,0,0,67,0,0,0,0,0,0.00819672131147541,0.00244670179973012
