"upeople_id","no_of_bug_owned","avg_resolution","X197scmChanges","X420scmChanges","X432scmChanges","X439scmChanges","X318scrChanges","X364scrChanges","X458scrChanges","X459scrChanges","X1mslChanges","number_of_domain","country","X197linesadded","X197linesremoved","X420linesadded","X420linesremoved","X432linesadded","X432linesremoved","X439linesadded","X439linesremoved","X318ReviewGotMerged","X364ReviewGotMerged","X458ReviewGotMerged","X459ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
385766,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
396936,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
396964,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
396965,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
396966,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
396973,3,0.3333,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,45,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
407215,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
407715,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
407725,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
407727,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
407731,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
407735,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
407745,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
407746,1,7,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,54,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
431712,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
431713,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
431826,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
432315,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
432421,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
434643,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
434740,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
443759,1,5,0,2,0,0,2,0,0,0,0,1,0,0,0,55,4,0,0,0,0,2,0,0,0,71,4,4,4,0.502620186830713,0.333333333333333,0.0236724248240563,6.51765706538041e-05
446155,2,1.5,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,63,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
447467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
447468,2,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,15,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
447470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
447472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
448572,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,46,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
452635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0.0133333333333333,4.1639943057496e-07
