"upeople_id","no_of_bug_owned","avg_resolution","X250scmChanges","X275scmChanges","X158scrChanges","X227scrChanges","X1mslChanges","number_of_domain","country","X250linesadded","X250linesremoved","X275linesadded","X275linesremoved","X158ReviewGotMerged","X227ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
2476,0,0,0,59,260,0,0,3,6,0,0,15764,2110,215,0,36,40,40,40,51.7,0.194871794871795,0.0518867924528302,0.00534068060747817
3252,1,0,0,26,247,0,0,3,9,0,0,6042,589,232,0,37,12,12,12,0,0.303030303030303,0.0491620111731844,0.0193881759301634
64611,2,149,0,11,97,0,0,2,0,0,0,3261,339,86,0,44,26,26,26,1.2,0.387692307692308,0.0509849362688297,0.000724606222300303
378243,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,20,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
381484,3,322.6667,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
390222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
390248,45,4.0667,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
390253,109,2.1481,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
426838,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
426884,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
433121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
433146,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
434351,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
451576,42,7.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
452199,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.0222222222222222,2.01214335275864e-06
