"upeople_id","no_of_bug_owned","avg_resolution","X123scmChanges","X146scmChanges","X212scmChanges","X256scmChanges","X354scmChanges","X372scmChanges","X1mslChanges","number_of_domain","country","X123linesadded","X123linesremoved","X146linesadded","X146linesremoved","X212linesadded","X212linesremoved","X256linesadded","X256linesremoved","X354linesadded","X354linesremoved","X372linesadded","X372linesremoved","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
447385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0.0149253731343284,0.00483535550222406
447599,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0.0149253731343284,0.00483535550222406
447680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0.0149253731343284,0.00483535550222406
447894,73,32.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0.0149253731343284,0.00483535550222406
447895,87,46.7586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0.0149253731343284,0.00483535550222406
447896,44,38.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0.0149253731343284,0.00483535550222406
447897,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0.0149253731343284,0.00483535550222406
447898,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0.0149253731343284,0.00483535550222406
447900,15,38.8667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0.0149253731343284,0.00483535550222406
452119,19,11.7368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0.0149253731343284,0.00483535550222406
452127,10,135.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0.0149253731343284,0.00483535550222406
452128,2,1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0.0149253731343284,0.00483535550222406
452145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0.0149253731343284,0.00483535550222406
456195,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,67,2,2,2,0,0,0.016256157635468,0
