"upeople_id","no_of_bug_owned","avg_resolution","X103scmChanges","X208scmChanges","X377scmChanges","X383scmChanges","X398scmChanges","X40scrChanges","X63scrChanges","X349scrChanges","X408scrChanges","X1mslChanges","X2mslChanges","number_of_domain","country","X103linesadded","X103linesremoved","X208linesadded","X208linesremoved","X377linesadded","X377linesremoved","X383linesadded","X383linesremoved","X398linesadded","X398linesremoved","X40ReviewGotMerged","X63ReviewGotMerged","X349ReviewGotMerged","X408ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
378243,63,33.6667,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
379675,7,121,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
379690,46,20.6957,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
380118,2,67.5,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
381082,17,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
381084,114,28.4298,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
381114,26,1.0769,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
381295,1,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
382758,24,10.9091,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
382814,1,15,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
383631,32,10.625,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
389171,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
389186,4,0.25,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
395937,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
395939,5,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0.0131578947368421,1.08597844731666e-07
